Row,Name,Size,Edges,MAX,MAX_COUNT,C,Simple,Similar,Covered,Both
1,noswot.mps,310,1470,25,1,12,3298,2712,720,469
2,noswot.mps,310,1470,25,1,13,151440,137482,88167,88737
3,noswot.mps,310,1470,25,1,14,806936,728573,430776,435710
4,noswot.mps,310,1470,25,1,15,10010284,10010279,4260305,4135891
